Catalpa bignonioides	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Acer negundo	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Magnolia grandiflora	broadleaved	evergreen
"Cedrus atlantica ""Glauca"""	needleleaved	evergreen
"Prunus cerasifera ""Pissardii"""	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Fraxinus excelsior	broadleaved	deciduous
"Prunus cerasifera ""Pissardii"""	broadleaved	deciduous
"Acer negundo ""Variegata"""	broadleaved	deciduous
Ulmus pumila	broadleaved	deciduous
Cedrus libani	needleleaved	evergreen
"Picea pungens ""Glauca"""	needleleaved	evergreen
Populus simonii	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Chamaecyparis lawsoniana	needleleaved	evergreen
Cupressus arizonica	needleleaved	evergreen
Chamaecyparis lawsoniana	needleleaved	evergreen
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Fraxinus excelsior	broadleaved	deciduous
Ulmus pumila	broadleaved	deciduous
"Prunus cerasifera ""Pissardii"""	broadleaved	deciduous
Sequoiadendron giganteum	needleleaved	evergreen
Chamaecyparis lawsoniana	needleleaved	evergreen
Populus simonii	broadleaved	deciduous
"Acer negundo ""Variegata"""	broadleaved	deciduous
Cedrus deodara	needleleaved	evergreen
Sequoia sempervirens	needleleaved	evergreen
"Acer negundo ""Variegata"""	broadleaved	deciduous
Cupressus arizonica	needleleaved	evergreen
"Acer negundo ""Variegata"""	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Populus simonii	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
Ulmus pumila	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Ulmus pumila	broadleaved	deciduous
Platanus x hispanica	broadleaved	deciduous
Fraxinus excelsior	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Populus simonii	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Aesculus hippocastanum	broadleaved	deciduous
Ulmus pumila	broadleaved	deciduous
Celtis australis	broadleaved	deciduous
Populus simonii	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Catalpa bignonioides	broadleaved	deciduous
"Fagus sylvatica ""Pendula"""	broadleaved	deciduous
"Acer negundo ""Variegata"""	broadleaved	deciduous
Populus simonii	broadleaved	deciduous
Prunus avium	broadleaved	deciduous
Celtis australis	broadleaved	deciduous
Populus nigra	broadleaved	deciduous
"Prunus cerasifera ""Pissardii"""	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
Cedrus deodara	needleleaved	evergreen
Celtis australis	broadleaved	deciduous
"Prunus cerasifera ""Pissardii"""	broadleaved	deciduous
Cedrus deodara	needleleaved	evergreen
Fraxinus excelsior	broadleaved	deciduous
Acer negundo	broadleaved	deciduous
